TELERIDE_NUMBER,STOP_NAME,STATUS,point,City Quadrants,Ward Boundaries 2017,Ward Boundaries,Calgary Communities
8110,SB 36 ST SE @ Erin Woods CL,INACTIVE,POINT (-113.979146001279 51.0172708541652),3,11,12,35
6491,EB 50 AV SE @ 51 ST SE,ACTIVE,POINT (-113.960370224624 51.0086879079642),3,11,10,159
2052,EB Nolan Hill BV @ Nolanshire GR NW,ACTIVE,POINT (-114.164034130015 51.1726714718436),2,10,3,188
7969,SB Citadel GA @ Citadel DR NW,ACTIVE,POINT (-114.18084310576 51.1421870825257),2,10,3,247
4769,SB Shawinigan DR @ Shannon MR SW,ACTIVE,POINT (-114.09036986123 50.910537247389),1,6,5,115
9825,WB 7 AV SW @ 1 ST SW,INACTIVE,POINT (-114.066189730838 51.0467209067842),1,7,7,262
6373,NB Macleod TR @ S. of 61 AV SW,ACTIVE,POINT (-114.071300281353 50.9966368764831),1,11,10,160
2111,EB Canada Olympic RD @ Olympic Ctr Entr,INACTIVE,POINT (-114.214890716061 51.0827577622176),1,14,13,4
2867,WB Palliser DR @ Oakfield DR SW,INACTIVE,POINT (-114.13214976071 50.9716649491884),1,5,8,217
9656,EB Taradale DR @ Tarington CL NE,ACTIVE,POINT (-113.933694937847 51.1140156044532),4,1,11,26
5714,NB 19 ST NE @ 27 AV NE,ACTIVE,POINT (-114.011529073659 51.0773542501523),4,3,9,106
4597,WB 66 AV SW @ Lethbridge CR,ACTIVE,POINT (-114.140170464762 50.9946295010189),1,5,8,129
2408,NB Cityscape DR @ 104 AV NE,ACTIVE,POINT (-113.96619950652 51.147638266992),4,1,11,176
7079,NB Edenwold DR @ Edforth WY NW,ACTIVE,POINT (-114.138381821169 51.1266107244622),2,4,2,272
9237,NB Midridge DR @ Midvalley DR SE,ACTIVE,POINT (-114.047527647613 50.9157483984285),3,13,6,263
9653,WB Westwinds DR @ Castleridge BV NE,ACTIVE,POINT (-113.969458372112 51.1089949843641),4,1,9,80
6304,NB Erin Woods DR @ Erin Park CL SE,ACTIVE,POINT (-113.973088965541 51.0204961206267),3,11,12,35
5351,NB 20 ST SW@ 54 AV SW,ACTIVE,POINT (-114.109097064469 51.0054225394052),1,5,8,122
5978,NB Canterbury DR @ Cantrell DR SW,ACTIVE,POINT (-114.075520232666 50.9431326713855),1,6,5,283
2177,EB 17 AV SE @ 68 ST SE,ACTIVE,POINT (-113.934062100986 51.0377090975907),3,11,12,209
5174,SB Centre ST N @ 28 AV N,ACTIVE,POINT (-114.062651062192 51.0775266751024),2,7,10,69
6244,SB Edgepark BV @ Edgeburn CR NW,ACTIVE,POINT (-114.157257605284 51.1360211097381),2,4,2,272
2136,WB 6 AV SW @ 9 ST SW,INACTIVE,POINT (-114.083168298953 51.048092479506),1,2,14,262
5746,EB Campus DR NW @ Earth Sciences,ACTIVE,POINT (-114.130725849839 51.0808647295735),2,7,13,287
3987,WB Varsity DR @ Vancouver CR NW,ACTIVE,POINT (-114.144115720516 51.0904394254975),2,9,13,269
8136,EB 61 AV SE @ Barlow TR,INACTIVE,POINT (-113.983471453388 50.9987538875591),3,11,10,159
8499,EB 50 AV SE @ 47 ST SE,ACTIVE,POINT (-113.964705518414 51.0086747788799),3,11,10,159
7751,NB 12 ST SE @ Highfield CR,INACTIVE,POINT (-114.035094707319 51.012282691465),3,11,10,75
5507,SB 14 ST NW @ 16 AV NW,INACTIVE,POINT (-114.095278280247 51.065677893194),2,7,7,152
4565,EB Falconridge DR @ Falconridge CR NE,ACTIVE,POINT (-113.947654375827 51.099314470869),4,1,9,56
6753,NB North Haven DR @ 56 AV NW,ACTIVE,POINT (-114.085652504087 51.103441211828),2,4,2,49
7575,WB Sunridge BV @ 29 ST NE,ACTIVE,POINT (-113.995301848747 51.0770098935145),4,3,9,83
6259,Anderson LRT Station,ACTIVE,POINT (-114.074232260451 50.9545690006577),1,5,8,7
7236,SB John Laurie BV @ Arbour Wood CL NW,ACTIVE,POINT (-114.203994288975 51.1326963093635),2,10,3,244
7828,NB Ramsay ST @ Burns AV SE,INACTIVE,POINT (-114.045546684922 51.0362673585584),3,11,10,132
7984,SB Skyview Ranch WY @ S leg Skyview Springs GD NE,ACTIVE,POINT (-113.96601189656 51.1614352414169),4,1,11,12
4266,SB Harvest Hills BV @ Country Hills BV NW,ACTIVE,POINT (-114.065669697727 51.1522793171792),2,12,2,172
7446,EB Patina DR @ Prominence WY SW,ACTIVE,POINT (-114.174932259482 51.0628824482807),1,14,1,275
9863,NB New Brighton DR @  Brightstone GV SE,ACTIVE,POINT (-113.954586290442 50.9233780299681),3,8,4,139
4873,NB Hunterview DR @ Hunterbow CR NW,ACTIVE,POINT (-114.079701146223 51.1137625505519),2,4,2,261
9361,EB Martin Crossing DR @ Martin Crossing CR NE,ACTIVE,POINT (-113.956064823013 51.1178477762849),4,1,9,180
6602,SB Shawville LI @ Shawville WY SE,ACTIVE,POINT (-114.066519361614 50.8993077937502),3,6,5,115
3461,SB Harvest Hills BV @ Panatella GA NW,ACTIVE,POINT (-114.068950640348 51.1665778647273),2,12,11,235
6074,EB Beddington BV @ Centre ST N,ACTIVE,POINT (-114.070053504423 51.125079340681),4,4,2,261
